,loss,N,device,mean[ms],var[ms]
0,sigmoid_pairwise_loss,100.0,cuda,0.017870187759399414,0.0006175369085591834
1,sigmoid_pairwise_diff_hess,100.0,cuda,0.00016013781229654947,1.691407507880487e-11
2,sigmoid_pairwise_loss_auc,100.0,cuda,0.00026567776997884113,4.0208508127963994e-10
3,sigmoid_pairwise_loss_auc_exact,100.0,cuda,0.00027100245157877606,3.616504626633186e-11
4,sigmoid_pairwise_diff_hess_auc,100.0,cuda,0.00018596649169921875,8.981260180007666e-12
5,sigmoid_pairwise_diff_hess_auc_exact,100.0,cuda,0.00021354357401529947,3.0821764893415905e-12
6,sigmoid_pairwise_loss,31131.03448275862,cuda,0.17879501978556314,2.953349069735446e-05
7,sigmoid_pairwise_diff_hess,31131.03448275862,cuda,0.07297627131144206,5.048928465435489e-08
8,sigmoid_pairwise_loss_auc,31131.03448275862,cuda,0.08650962511698405,2.0689349690251728e-08
9,sigmoid_pairwise_loss_auc_exact,31131.03448275862,cuda,0.09398476282755534,1.5192742668861886e-08
10,sigmoid_pairwise_diff_hess_auc,31131.03448275862,cuda,0.04033088684082031,8.112275888076207e-09
11,sigmoid_pairwise_diff_hess_auc_exact,31131.03448275862,cuda,0.0440526008605957,1.915888484897247e-07
12,sigmoid_pairwise_loss,62162.06896551724,cuda,0.6517353852589926,1.197202866225982e-07
13,sigmoid_pairwise_diff_hess,62162.06896551724,cuda,0.2747844060262044,1.1264142408941148e-06
14,sigmoid_pairwise_loss_auc,62162.06896551724,cuda,0.28661354382832843,4.4969750787357846e-08
15,sigmoid_pairwise_loss_auc_exact,62162.06896551724,cuda,0.317050298055013,4.390787782742539e-09
16,sigmoid_pairwise_diff_hess_auc,62162.06896551724,cuda,0.1510006586710612,1.4164948854360975e-06
17,sigmoid_pairwise_diff_hess_auc_exact,62162.06896551724,cuda,0.1647191047668457,1.7799338062710982e-07
18,sigmoid_pairwise_loss,93193.10344827586,cuda,1.0639568169911702,4.76224436675289e-08
19,sigmoid_pairwise_diff_hess,93193.10344827586,cuda,0.6114100615183512,7.944070009418485e-06
20,sigmoid_pairwise_loss_auc,93193.10344827586,cuda,0.5077444712320963,1.6909982352646896e-08
21,sigmoid_pairwise_loss_auc_exact,93193.10344827586,cuda,0.5718774000803629,1.8348137144938744e-06
22,sigmoid_pairwise_diff_hess_auc,93193.10344827586,cuda,0.3168187936147054,4.26544793046762e-06
23,sigmoid_pairwise_diff_hess_auc_exact,93193.10344827586,cuda,0.3388884862263997,8.460435512663227e-07
